
Date    RET1      RET2      RET3      RET4      RET5      RET6      RET7      RET8      RET9      RET10      RET11    RET12     RET13      RET14     RET15    RET16      RET17    RET18     RET19      RET20    RET21      RET22     RET23     RET24     RET25     market    SMB      HML       TERM      DEF         MOM
196504  0.042900  0.045800  0.049800  0.038800  0.042200 -0.003100  0.040900  0.040800  0.043600  0.047000  0.024800  0.026200  0.039300  0.031000  0.065100  0.023800  0.027800  0.043800  0.040900  0.023100  0.043100  0.016000  0.016700  0.018400  0.040600  0.030500  0.011300  0.006100  0.000500 -0.001000  0.025600
196505 -0.007100 -0.026500 -0.018600 -0.008600 -0.013800  0.009300 -0.022000 -0.010700 -0.006600 -0.024800 -0.009000  0.003500 -0.018000 -0.011700 -0.009300 -0.014100 -0.004200 -0.017100 -0.006500 -0.036500 -0.010300  0.005600 -0.003500 -0.009000 -0.037000 -0.007500  0.000800 -0.015000 -0.001300 -0.003900  0.005400
196506 -0.125800 -0.110500 -0.097700 -0.083700 -0.099200 -0.106900 -0.085800 -0.093300 -0.087800 -0.084800 -0.070100 -0.099300 -0.087000 -0.088400 -0.087500 -0.067900 -0.069500 -0.080900 -0.089900 -0.093200 -0.048100 -0.039900 -0.052600 -0.041800 -0.058400 -0.055400 -0.040600  0.003100  0.001200 -0.003200 -0.031600
196507  0.015900  0.037000  0.027500  0.020200  0.038700  0.037900  0.008700  0.024300  0.034400  0.040300  0.003900  0.042000  0.023000  0.042100  0.043500  0.024900  0.029900  0.036700  0.024100  0.055700  0.012000 -0.003100  0.015900  0.034300  0.047500  0.013600  0.007000  0.021900 -0.000900 -0.001200  0.040800
196508  0.026400  0.050200  0.051700  0.034600  0.035400  0.068100  0.037100  0.043600  0.041300  0.037800  0.069000  0.048400  0.074200  0.034100  0.056800  0.036200  0.034700  0.049700  0.026700  0.041300  0.029600  0.009500  0.031900  0.008000  0.020600  0.027600  0.028100 -0.008700 -0.004600 -0.003900  0.025800
196509  0.029200  0.067600  0.005300  0.036500  0.025000  0.049700  0.026900  0.026100  0.046800  0.024400  0.020600  0.042000  0.022500  0.047200  0.043800  0.034400  0.033400  0.011500  0.025500  0.037100  0.036300  0.019900  0.021600  0.032000  0.029400  0.028800  0.003100  0.000000 -0.006500 -0.004600  0.032900
196510  0.059800  0.086300  0.061100  0.053400  0.089100  0.042700  0.048100  0.037900  0.052200  0.050700  0.045100  0.046500  0.055800  0.050500  0.047800  0.039900  0.024200  0.027100  0.040600  0.079400  0.028300 -0.001000  0.028100  0.041100  0.051600  0.026200  0.025300  0.018400 -0.000400  0.001500  0.034300
196511  0.032900  0.060500  0.025900  0.073200  0.063600  0.011500  0.048000  0.038100  0.050600  0.036600  0.023500  0.031600  0.048900  0.023700  0.025100  0.030700  0.021300  0.032400  0.009800  0.059200 -0.006400 -0.021600  0.009400 -0.016300 -0.026400 -0.000500  0.045300  0.004000 -0.009700 -0.009200  0.044000
196512  0.066300  0.063700  0.027300  0.036000  0.046200  0.029900  0.017800  0.038600  0.025700  0.067100  0.026000  0.007600  0.034900  0.013300  0.054300  0.005900  0.009300  0.010900  0.040000  0.048500  0.007000 -0.005500  0.006800  0.024700  0.026200  0.010200  0.019700  0.020600 -0.011100 -0.018200  0.001200
196601  0.060400  0.063300  0.074100  0.092800  0.086800  0.040300  0.051600  0.046200  0.049700  0.066200  0.041900  0.022100  0.026300  0.043600  0.046300  0.004000  0.009800  0.050100  0.039400  0.052900 -0.007700 -0.009400  0.014500  0.026700  0.031300  0.008300  0.039200  0.034500 -0.014200 -0.001600  0.053800
196602  0.066200  0.058900  0.010200  0.043500  0.056500  0.044400  0.045500  0.017800 -0.005800  0.031500 -0.001600  0.016400  0.040000  0.020700  0.024900  0.019600 -0.023600  0.005600  0.000800  0.033300 -0.016900 -0.026700 -0.021200 -0.023200 -0.023900 -0.012100  0.045500  0.007000 -0.028500 -0.014800  0.045300
196603  0.002100 -0.013500 -0.019800 -0.012700 -0.018600 -0.002300 -0.027900 -0.027500 -0.040700 -0.031500 -0.022300 -0.051300 -0.027000 -0.038600 -0.040000 -0.005000 -0.026400 -0.040800 -0.028100 -0.042700 -0.019000 -0.038400 -0.013500 -0.025400 -0.049100 -0.024700  0.009700 -0.019700  0.025800 -0.009700  0.013700
196604  0.099000  0.040200  0.057400  0.063100  0.035900  0.028100  0.048500  0.030800  0.077000  0.083400  0.032500  0.039900  0.029500  0.037700  0.021800  0.036700  0.015300  0.036400  0.041700  0.002700  0.017200  0.016500  0.009600  0.020600  0.016400  0.021400  0.033500 -0.004800 -0.009700 -0.002100  0.061400
